RES_ID,RESPONSE,LABEL,DATA_TYPE,DATA_GROUP,BACK_TRANSLATED_RESPONSE,CLEAN_RESPONSE,CORRECTED_RESPONSE,NORMALIZE_RESPONSE
TSA188,"pengungsi iklim mungkin dapat pindah kedaratan yang lebih tinggi,namun demikian pengungsi akan kehilangan lahan pertaniannya.",1,TEST,A,"Pengungsi iklim mungkin dapat pindah ke peraturan yang lebih tinggi, namun pengungsi akan kehilangan lahan pertanian mereka.",pengungsi iklim mungkin dapat pindah ke peraturan yang lebih tinggi namun pengungsi akan kehilangan lahan pertanian mereka,pengungsi iklim mungkin dapat pindah ke peraturan yang lebih tinggi namun pengungsi akan kehilangan lahan pertanian mereka,pengungsi iklim mungkin dapat pindah ke peraturan yang lebih tinggi namun pengungsi akan kehilangan lahan pertanian mereka
TSA189,Salah satunya warga yang bermata pencarian sebagai petani mungkin akan mengalami kehilangan lahan pertaniannya dan akan berdampak pada menurunnya sumber pangan dan perekonomian negara tersebut,1,TEST,A,Salah satunya adalah penduduk yang merupakan mata pencarian sebagai petani mungkin mengalami kehilangan lahan pertanian dan akan berdampak pada penurunan sumber makanan dan ekonomi negara itu,salah satunya adalah penduduk yang merupakan mata pencarian sebagai petani mungkin mengalami kehilangan lahan pertanian dan akan berdampak pada penurunan sumber makanan dan ekonomi negara itu,salah satunya adalah penduduk yang merupakan mata pencarian sebagai petani mungkin mengalami kehilangan lahan pertanian dan akan berdampak pada penurunan sumber makanan dan ekonomi negara itu,salah satunya adalah penduduk yang merupakan mata pencarian sebagai petani mungkin mengalami kehilangan lahan pertanian dan akan berdampak pada penurunan sumber makanan dan ekonomi negara itu
TSA190,mereka akan menghadapi lingkungan baru dengan keadaan sosial dan ekonomi yang berbeda dari negaranya,1,TEST,A,Mereka akan menghadapi lingkungan baru dengan kondisi sosial dan ekonomi yang berbeda dari negara mereka,mereka akan menghadapi lingkungan baru dengan kondisi sosial dan ekonomi yang berbeda dari negara mereka,mereka akan menghadapi lingkungan baru dengan kondisi sosial dan ekonomi yang berbeda dari negara mereka,mereka akan menghadapi lingkungan baru dengan kondisi sosial dan ekonomi yang berbeda dari negara mereka
TSA191,menyesuaikanlingkungan baru,1,TEST,A,Sesuaikan lingkungan baru,sesuaikan lingkungan baru,seruakan lingkungan baru,seruakan lingkungan baru
TSA192,-kekurangan pasokan makanan -tempat tinggal nya tidak layak -banyaknya penyakit yang akan menimpa mereka,1,TEST,A,-Reduksi pasokan makanan -Tempat tinggalnya tidak layak -mandi penyakit yang akan gratis,reduksi pasokan makanan tempat tinggalnya tidak layak mandi penyakit yang akan gratis,reduksi pasokan makanan tempat tinggalan tidak layak mandi penyakit yang akan gratis,reduksi pasokan makanan tempat tinggalan tidak layak mandi penyakit yang akan gratis
TSA193,mereka akan menemui kondisi baru/menyesuaikan dengan iklim yang ada di daerah tempat tinggal baru mereka.,1,TEST,A,Mereka akan menemukan kondisi baru/menyesuaikan diri dengan iklim di daerah tempat mereka tinggal.,mereka akan menemukan kondisi barumenyesuaikan diri dengan iklim di daerah tempat mereka tinggal,mereka akan menemukan kondisi barumenyesuaikan diri dengan iklim di daerah tempat mereka tinggal,mereka akan menemukan kondisi barumenyesuaikan diri dengan iklim di daerah tempat mereka tinggal
TSA194,mereka akan kehilangan mata pencarian dan mereka juga akan susah beradaptasi di kota atau negara lain,1,TEST,A,Mereka akan kehilangan mata pencaharian dan mereka juga akan sulit untuk beradaptasi di kota atau negara lain,mereka akan kehilangan mata pencaharian dan mereka juga akan sulit untuk beradaptasi di kota atau negara lain,mereka akan kehilangan mata pencaharian dan mereka juga akan sulit untuk beradaptasi di kota atau negara lain,mereka akan kehilangan mata pencaharian dan mereka juga akan sulit untuk beradaptasi di kota atau negara lain
TSA195,"Ketika mereka pindah ke suatu tempat yang baru, jelas mereka harus menyesuaikan diri lagi dengan iklim di tempat tersebut yang mungkin bisa saja sangat berbeda dengan iklim tempat tingal sebelumnya. Selain itu mereka juga harus menyesuaikan perilaku mereka di tempat baru tersebut karena bisa saja tempat baru itu memiliki warga yang perilakunya sangat berbeda dari tempat tinggal sebelumnya. Pengurusan administrasi di tempat baru mungkin juga bisa jadi masalah serius yang harus dihadapi para pengungsi iklim karena kemungkinan terbesar sebagian dokumen penting mereka hilang saat bencana.",1,TEST,A,"Ketika mereka pindah ke tempat baru, jelas mereka harus menyesuaikan kembali dengan iklim di tempat yang mungkin sangat berbeda dari iklim tingal sebelumnya. Selain itu, mereka juga harus menyesuaikan perilaku mereka di tempat baru karena bisa jadi tempat baru memiliki warga yang perilakunya sangat berbeda dari kediaman yang penting.",ketika mereka pindah ke tempat baru jelas mereka harus menyesuaikan kembali dengan iklim di tempat yang mungkin sangat berbeda dari iklim tingal sebelumnya selain itu mereka juga harus menyesuaikan perilaku mereka di tempat baru karena bisa jadi tempat baru memiliki warga yang perilakunya sangat berbeda dari kediaman yang penting,ketika mereka pindah ke tempat baru jelas mereka harus menyesuaikan kembali dengan iklim di tempat yang mungkin sangat berbeda dari iklim tinggal sebetulnya selain itu mereka juga harus menyesuaikan perilaku mereka di tempat baru karena bisa jadi tempat baru memiliki warga yang perilakunya sangat berbeda dari kediaman yang penting,ketika mereka pindah ke tempat baru jelas mereka harus menyesuaikan kembali dengan iklim di tempat yang mungkin sangat berbeda dari iklim tinggal sebetulnya selain itu mereka juga harus menyesuaikan perilaku mereka di tempat baru karena bisa jadi tempat baru memiliki warga yang perilakunya sangat berbeda dari kediaman yang penting
TSA196,merasa tidak merasa nyaman karena tidak terbiasa dilingkungan lain,1,TEST,A,Merasa tidak nyaman karena Anda tidak terbiasa dengan lingkungan lain,merasa tidak nyaman karena anda tidak terbiasa dengan lingkungan lain,merasa tidak nyaman karena anda tidak terbiasa dengan lingkungan lain,merasa tidak nyaman karena anda tidak terbiasa dengan lingkungan lain
TSA197,akan mengalami mengenal lingkunhgan baru dan suasana baru,1,TEST,A,akan mengalami untuk mengenal lingkungan baru dan suasana baru,akan mengalami untuk mengenal lingkungan baru dan suasana baru,akan mengalami untuk mengenal lingkungan baru dan suasana baru,akan mengalami untuk mengenal lingkungan baru dan suasana baru
TSA198,"Tantangan yang ""Pengungsi Iklim"" hadapi adalah perbedaan iklim dari tempat mereka tinggal, ke temapat pengungsian yang baru. Sehingga, mereka harus beradaptasi terhadap perbedaan iklim.",1,TEST,A,"Tantangan yang dihadapi ""pengungsi iklim"" adalah perbedaan iklim dari tempat mereka tinggal, ke kamp pengungsi baru. Jadi, mereka harus beradaptasi dengan perbedaan iklim.",tantangan yang dihadapi pengungsi iklim adalah perbedaan iklim dari tempat mereka tinggal ke kamp pengungsi baru jadi mereka harus beradaptasi dengan perbedaan iklim,tantangan yang diharap pengungsi iklim adalah perbedaan iklim dari tempat mereka tinggal ke kamp pengungsi baru jadi mereka harus beradaptasi dengan perbedaan iklim,tantangan yang diharap pengungsi iklim adalah perbedaan iklim dari tempat mereka tinggal ke kamp pengungsi baru jadi mereka harus beradaptasi dengan perbedaan iklim
TSA199,"mereka merasa tersiksa sebagai pengungsi karena mereka kekurangan makanan dan kehilangan tempat tinggalnya,",1,TEST,A,"Mereka merasa disiksa sebagai pengungsi karena mereka kekurangan makanan dan kehilangan tempat tinggal,",mereka merasa disiksa sebagai pengungsi karena mereka kekurangan makanan dan kehilangan tempat tinggal,mereka merasa fisika sebagai pengungsi karena mereka kekurangan makanan dan kehilangan tempat tinggal,mereka merasa fisika sebagai pengungsi karena mereka kekurangan makanan dan kehilangan tempat tinggal
TSA200,mereka akan kehilangan sebagian besar pekerjaan mereka dan mereka belum mengetahui keahlian apa yang dapat dilakukannya sebagai pengganti mata pencahariannya,1,TEST,A,Mereka akan kehilangan sebagian besar pekerjaan mereka dan mereka tidak tahu keahlian apa yang dapat dilakukan sebagai pengganti mata pencaharian mereka,mereka akan kehilangan sebagian besar pekerjaan mereka dan mereka tidak tahu keahlian apa yang dapat dilakukan sebagai pengganti mata pencaharian mereka,mereka akan kehilangan sebagian besar pekerjaan mereka dan mereka tidak tahu keahlian apa yang dapat dielakkan sebagai pengganti mata pencaharian mereka,mereka akan kehilangan sebagian besar pekerjaan mereka dan mereka tidak tahu keahlian apa yang dapat dielakkan sebagai pengganti mata pencaharian mereka
TSA201,Memulai hidup baru di suatu negara dengan pekerjaan hingga tempat tinggal dari nol.,1,TEST,A,Memulai kehidupan baru di negara dengan pekerjaan ke tempat dari nol.,memulai kehidupan baru di negara dengan pekerjaan ke tempat dari nol,memulai kehidupan baru di negara dengan pekerjaan ke tempat dari nol,memulai kehidupan baru di negara dengan pekerjaan ke tempat dari nol
TSA202,akan bertemu dengan orang -orang asing.,0,TEST,A,akan bertemu orang asing.,akan bertemu orang asing,akan bertemu orang asing,akan bertemu orang asing
TSA203,satu tantangan yang akan dihadapi adalah bagaimana masyarakat harus beradaptasi di tempat baru nya,1,TEST,A,Salah satu tantangan yang akan dihadapi adalah bagaimana orang harus beradaptasi di tempat baru mereka,salah satu tantangan yang akan dihadapi adalah bagaimana orang harus beradaptasi di tempat baru mereka,salah satu tantangan yang akan diharap adalah bagaimana orang harus beradaptasi di tempat baru mereka,salah satu tantangan yang akan diharap adalah bagaimana orang harus beradaptasi di tempat baru mereka
TSA204,akan kehilangan lahan pertanian mereka,0,TEST,A,akan kehilangan lahan pertanian mereka,akan kehilangan lahan pertanian mereka,akan kehilangan lahan pertanian mereka,akan kehilangan lahan pertanian mereka
TSA205,Mereka akan beradaptasi dengan lingkungan atau tempat tinggal barunya dan tetap selalu bersabar apa yang dihadapinya.,1,TEST,A,Mereka akan beradaptasi dengan lingkungan atau tempat tinggal baru mereka dan selalu bersabar apa yang mereka hadapi.,mereka akan beradaptasi dengan lingkungan atau tempat tinggal baru mereka dan selalu bersabar apa yang mereka hadapi,mereka akan beradaptasi dengan lingkungan atau tempat tinggal baru mereka dan selalu bersabar apa yang mereka hadap,mereka akan beradaptasi dengan lingkungan atau tempat tinggal baru mereka dan selalu bersabar apa yang mereka hadap
TSA206,orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan,1,TEST,A,orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TSA207,Mereka akan hidup di daerah yang baru dan pekerjaan mereka akan hilang dan mereka harus beradaptasi di daerah yang baru.,1,TEST,A,Mereka akan tinggal di daerah baru dan pekerjaan mereka akan hilang dan mereka harus beradaptasi di daerah baru.,mereka akan tinggal di daerah baru dan pekerjaan mereka akan hilang dan mereka harus beradaptasi di daerah baru,mereka akan tinggal di daerah baru dan pekerjaan mereka akan hilang dan mereka harus beradaptasi di daerah baru,mereka akan tinggal di daerah baru dan pekerjaan mereka akan hilang dan mereka harus beradaptasi di daerah baru
TSA208,mereka kehilangan seluruh harta kekayaannya di tempat yang lama,1,TEST,A,Mereka kehilangan semua kekayaan mereka di tempat lama,mereka kehilangan semua kekayaan mereka di tempat lama,mereka kehilangan semua kekayaan mereka di tempat lama,mereka kehilangan semua kekayaan mereka di tempat lama
TSA209,Adaptasi dengan daerah baru.,1,TEST,A,Adaptasi ke area baru.,adaptasi ke area baru,adaptasi ke area baru,adaptasi ke area baru
TSA210,meninggalkan komunitas atau negaranya.,1,TEST,A,meninggalkan komunitas atau negara.,meninggalkan komunitas atau negara,meninggalkan komunitas atau negara,meninggalkan komunitas atau negara
TSA211,"satu tantangan yang akan di hadapi para pengungsi iklim adalah. saat musim hujan yang terus menerus,akan menyebabkan banjir.",0,TEST,A,"Salah satu tantangan yang akan dihadapi oleh pengungsi iklim adalah. Selama musim hujan yang berkelanjutan, itu akan menyebabkan banjir.",salah satu tantangan yang akan dihadapi oleh pengungsi iklim adalah selama musim hujan yang berkelanjutan itu akan menyebabkan banjir,salah satu tantangan yang akan diharap oleh pengungsi iklim adalah selama musim hujan yang berkelanjutan itu akan menyebabkan banjir,salah satu tantangan yang akan diharap oleh pengungsi iklim adalah selama musim hujan yang berkelanjutan itu akan menyebabkan banjir
TSA212,sulit mendapatkan pekerjaan baru dan tempat tinggal yang baru,1,TEST,A,Sulit untuk mendapatkan pekerjaan baru dan tempat baru untuk tinggal,sulit untuk mendapatkan pekerjaan baru dan tempat baru untuk tinggal,sulit untuk mendapatkan pekerjaan baru dan tempat baru untuk tinggal,sulit untuk mendapatkan pekerjaan baru dan tempat baru untuk tinggal
TSA213,"warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0,TEST,A,"Warga mungkin dipaksa untuk menjadi ""pengungsi iklim"". Pengungsi iklim adalah orang -orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan.",warga mungkin dipaksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,warga mungkin paksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,warga mungkin paksa untuk menjadi pengungsi iklim pengungsi iklim adalah orang orang yang paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TSA214,Mereka akan lebih waspada terhadap bencana lingkungan dan melihat iklim yang berbahaya di tempat baru mereka,1,TEST,A,Mereka akan lebih waspada terhadap bencana lingkungan dan melihat iklim berbahaya di tempat baru mereka,mereka akan lebih waspada terhadap bencana lingkungan dan melihat iklim berbahaya di tempat baru mereka,mereka akan lebih waspada terhadap bencana lingkungan dan melihat iklim berbahaya di tempat baru mereka,mereka akan lebih waspada terhadap bencana lingkungan dan melihat iklim berbahaya di tempat baru mereka
TSA215,Mereka tidak nyamam .,0,TEST,A,Mereka tidak nyaman.,mereka tidak nyaman,mereka tidak nyaman,mereka tidak nyaman
TSA216,Mereka akan terbiasa dengan lingkungan barunya,0,TEST,A,Mereka akan terbiasa dengan lingkungan baru mereka,mereka akan terbiasa dengan lingkungan baru mereka,mereka akan terbiasa dengan lingkungan baru mereka,mereka akan terbiasa dengan lingkungan baru mereka
TSA217,ekonomi,1,TEST,A,ekonomi,ekonomi,ekonomi,ekonomi
TSA218,mereka terpaksa harus meninggalkan komunitas atau negaranya karena bencana lingkungan.,1,TEST,A,Mereka dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan.,mereka dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,mereka paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,mereka paksa meninggalkan komunitas atau negara mereka karena bencana lingkungan
TSA219,yaitu mereka harus beradaptasi terhadap lingkungan yang baru misalnya mereka harus mencari pekerjaan yang lain untuk memenuhi kebutuhan hidup mereka masing-masing.,1,TEST,A,"Artinya, mereka harus beradaptasi dengan lingkungan baru, misalnya, mereka harus menemukan pekerjaan lain untuk memenuhi kebutuhan kehidupan masing -masing.",artinya mereka harus beradaptasi dengan lingkungan baru misalnya mereka harus menemukan pekerjaan lain untuk memenuhi kebutuhan kehidupan masing masing,hatinya mereka harus beradaptasi dengan lingkungan baru misalnya mereka harus menemukan pekerjaan lain untuk memenuhi kebutuhan kehidupan masing masing,hatinya mereka harus beradaptasi dengan lingkungan baru misalnya mereka harus menemukan pekerjaan lain untuk memenuhi kebutuhan kehidupan masing masing
TSA220,mereka perlu mencari tempat tinggal baru dan harus mampu beradaptasi dengan lingkungan yang baru pula. dan mereka harus mengeluarkan banyak biaya untuk pindah kenegara lain dan untuk memenuhi kebutuhan mereka disana.,1,TEST,A,Mereka perlu menemukan tempat tinggal baru dan harus dapat beradaptasi dengan lingkungan baru juga. Dan mereka harus menghabiskan banyak uang untuk memindahkan negara lain dan memenuhi kebutuhan mereka di sana.,mereka perlu menemukan tempat tinggal baru dan harus dapat beradaptasi dengan lingkungan baru juga dan mereka harus menghabiskan banyak uang untuk memindahkan negara lain dan memenuhi kebutuhan mereka di sana,mereka perlu menemukan tempat tinggal baru dan harus dapat beradaptasi dengan lingkungan baru juga dan mereka harus menghabiskan banyak uang untuk memindahkan negara lain dan memenuhi kebutuhan mereka di sana,mereka perlu menemukan tempat tinggal baru dan harus dapat beradaptasi dengan lingkungan baru juga dan mereka harus menghabiskan banyak uang untuk memindahkan negara lain dan memenuhi kebutuhan mereka di sana
TSA221,banyaknya mungkin adanya badai atau apapun yang akan menghalangi perjalanan yang ada di depan mereka,0,TEST,A,Jumlahnya mungkin badai atau apapun yang akan menghalangi perjalanan di depan mereka,jumlahnya mungkin badai atau apapun yang akan menghalangi perjalanan di depan mereka,jumlahan mungkin badai atau adapun yang akan menghalangi perjalanan di depan mereka,jumlahan mungkin badai atau adapun yang akan menghalangi perjalanan di depan mereka
TSA222,beradaptasi dengan warga baru,1,TEST,A,beradaptasi dengan penduduk baru,beradaptasi dengan penduduk baru,beradaptasi dengan penduduk baru,beradaptasi dengan penduduk baru
TSA223,"Proses perpindahan bukanlah hal yang mudah, seperti hal kecil pindah ruang kelas misalnya, tentu perlu adaptasi tentang kelas tersebut, kembali menyesuaikan dengan kelas yang baru, dimana pasti ruang kelas tersebut tata letak barang-barangnya berbeda dengan kelas yang kita telah terbiasa, begitu juga hal yang terjadi apabila warga Travina harus menjadi pemgungsi iklim dan pindah ke tempat baru, mereka akan menghadapi tantangan mulai dari, bingung akan tempat yang baru, harus beradaptasi apabila tempat baru itu berbeda bahasa dengan negara asalnya, harus membiasakan diri dengan kebudayaan dimana ia mengungsi, dan juga harus memulai segalanya dari awal, baik itu pekerjaan, pendidikan, dsb.Serta tantangan terbesar adalah bagaiman ia menyikapi itu semua dengan penuh energi positif agar hidupnya tetap berlangsung dengan baik.",1,TEST,A,"Proses transfer tidak mudah, seperti hal kecil untuk memindahkan ruang kelas misalnya, tentu saja perlu beradaptasi tentang kelas, menyesuaikan kembali ke kelas baru, di mana tata letak kelas yang berbeda dari kelas yang akan kita lakukan, juga, dan hal-hal yang terjadi, dan hal-hal yang baru terjadi, dan ada di tempat-tempat yang baru, dan harus menjadi tempat yang baru,.adalah bagaimana dia menanggapi semuanya dengan energi penuh sehingga hidupnya berlanjut dengan baik.",proses transfer tidak mudah seperti hal kecil untuk memindahkan ruang kelas misalnya tentu saja perlu beradaptasi tentang kelas menyesuaikan kembali ke kelas baru di mana tata letak kelas yang berbeda dari kelas yang akan kita lakukan juga dan halhal yang terjadi dan halhal yang baru terjadi dan ada di tempattempat yang baru dan harus menjadi tempat yang baruadalah bagaimana dia menanggapi semuanya dengan energi penuh sehingga hidupnya berlanjut dengan baik,proses transfer tidak mudah seperti hal kecil untuk memindahkan ruang kelas misalnya tentu saja perlu beradaptasi tentang kelas menyesuaikan kembali ke kelas baru di mana tata letak kelas yang berbeda dari kelas yang akan kita lakuan juga dan halal yang terjadi dan halal yang baru terjadi dan ada di tempattempat yang baru dan harus menjadi tempat yang baruadalah bagaimana dia menanggapi semuanya dengan energi penuh sehingga hidupnya berlanjut dengan baik,proses transfer tidak mudah seperti hal kecil untuk memindahkan ruang kelas misalnya tentu saja perlu beradaptasi tentang kelas menyesuaikan kembali ke kelas baru di mana tata letak kelas yang berbeda dari kelas yang akan kita lakuan juga dan halal yang terjadi dan halal yang baru terjadi dan ada di tempattempat yang baru dan harus menjadi tempat yang baruadalah bagaimana dia menanggapi semuanya dengan energi penuh sehingga hidupnya berlanjut dengan baik
TSA224,mereka mungkin akan sulit beradaptasi dengan lingkungan baru dan sulit melupakan kejadian yang sudah di alami selama di Travina,1,TEST,A,Mereka mungkin sulit untuk beradaptasi dengan lingkungan baru dan merasa sulit untuk melupakan peristiwa yang telah dialami saat berada di Travina,mereka mungkin sulit untuk beradaptasi dengan lingkungan baru dan merasa sulit untuk melupakan peristiwa yang telah dialami saat berada di travina,mereka mungkin sulit untuk beradaptasi dengan lingkungan baru dan merasa sulit untuk melupakan peristiwa yang telah dalam saat berada di trivia,mereka mungkin sulit untuk beradaptasi dengan lingkungan baru dan merasa sulit untuk melupakan peristiwa yang telah dalam saat berada di trivia
TSA225,"akan mendapatkan suasana baru, dan berbeda dengan tempat tinggal sblm nya",1,TEST,A,"akan mendapatkan suasana baru, dan berbeda dari tempat tinggal",akan mendapatkan suasana baru dan berbeda dari tempat tinggal,akan mendapatkan suasana baru dan berbeda dari tempat tinggal,akan mendapatkan suasana baru dan berbeda dari tempat tinggal
TSA226,tantangan nya akan menghadapi penduduk yang lama dan akan mengalami iklim yang berbeda dengan iklim sebelum nya,1,TEST,A,Tantangannya akan menghadapi populasi lama dan akan mengalami iklim yang berbeda dari iklim sebelumnya,tantangannya akan menghadapi populasi lama dan akan mengalami iklim yang berbeda dari iklim sebelumnya,tantangannya akan menghadapi populasi lama dan akan mengalami iklim yang berbeda dari iklim sebetulnya,tantangannya akan menghadapi populasi lama dan akan mengalami iklim yang berbeda dari iklim sebetulnya
TSA227,Tidak diterina oleh penduduk lain di tempat baru tersebut karena di anggap orang lain dan belum dapat di percaya,1,TEST,A,Tidak diterima oleh penduduk lain di tempat baru karena dipertimbangkan oleh orang lain dan tidak dapat dipercaya,tidak diterima oleh penduduk lain di tempat baru karena dipertimbangkan oleh orang lain dan tidak dapat dipercaya,tidak terima oleh penduduk lain di tempat baru karena dipertimbangkan oleh orang lain dan tidak dapat diperkaya,tidak terima oleh penduduk lain di tempat baru karena dipertimbangkan oleh orang lain dan tidak dapat diperkaya
TSA228,ana lingkungan. Apa satu tantangan yang akan dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru? pengungsi akan kehilangan lahan pertaniannya dan susah untuk mencari kebutuhan hidupnya.,1,TEST,A,Lingkungan. Apa tantangan yang akan dihadapi oleh para pengungsi iklim ini ketika mereka pindah ke tempat baru? Pengungsi akan kehilangan lahan pertanian mereka dan merasa sulit untuk menemukan kebutuhan hidup.,lingkungan apa tantangan yang akan dihadapi oleh para pengungsi iklim ini ketika mereka pindah ke tempat baru pengungsi akan kehilangan lahan pertanian mereka dan merasa sulit untuk menemukan kebutuhan hidup,lingkungan apa tantangan yang akan diharap oleh para pengungsi iklim ini ketika mereka pindah ke tempat baru pengungsi akan kehilangan lahan pertanian mereka dan merasa sulit untuk menemukan kebutuhan hidup,lingkungan apa tantangan yang akan diharap oleh para pengungsi iklim ini ketika mereka pindah ke tempat baru pengungsi akan kehilangan lahan pertanian mereka dan merasa sulit untuk menemukan kebutuhan hidup
TSA229,mereka akan kesulitan membangun rumah yang baru dan menyesuaikan diri dengan area baru. selain itu mereka akan dilanada kehawatiran akan negara dan tempat tinggalnya.,1,TEST,A,"Mereka akan mengalami kesulitan membangun rumah baru dan menyesuaikan diri dengan area baru. Selain itu, mereka akan menjadi Dilan dengan perhatian negara dan tempat tinggal mereka.",mereka akan mengalami kesulitan membangun rumah baru dan menyesuaikan diri dengan area baru selain itu mereka akan menjadi dilan dengan perhatian negara dan tempat tinggal mereka,mereka akan mengalami kesulitan membangun rumah baru dan menyesuaikan diri dengan area baru selain itu mereka akan menjadi dipan dengan perhatian negara dan tempat tinggal mereka,mereka akan mengalami kesulitan membangun rumah baru dan menyesuaikan diri dengan area baru selain itu mereka akan menjadi dipan dengan perhatian negara dan tempat tinggal mereka
TSA230,"mereka akan sulit dalam mencari kebutuhan mereka sehari hari, karena mereka sudah pindah ke tempat yang baru mereka kunjungi. oleh karena itu lah mereka kesulitan dalam mencari nafka.",1,TEST,A,"Mereka akan sulit untuk menemukan kebutuhan sehari -hari mereka, karena mereka telah pindah ke tempat yang baru saja mereka kunjungi. Oleh karena itu mereka mengalami kesulitan menemukan Nafka.",mereka akan sulit untuk menemukan kebutuhan sehari hari mereka karena mereka telah pindah ke tempat yang baru saja mereka kunjungi oleh karena itu mereka mengalami kesulitan menemukan nafka,mereka akan sulit untuk menemukan kebutuhan sehari hari mereka karena mereka telah pindah ke tempat yang baru saja mereka kunjung oleh karena itu mereka mengalami kesulitan menemukan nafkah,mereka akan sulit untuk menemukan kebutuhan sehari hari mereka karena mereka telah pindah ke tempat yang baru saja mereka kunjung oleh karena itu mereka mengalami kesulitan menemukan nafkah
TSA231,tantangannya adalah pengungsi akan kesulitan mencari tempat tinggal untuk menetap karna susahnya pengurusan data datanya,1,TEST,A,Tantangannya adalah bahwa pengungsi akan mengalami kesulitan menemukan tempat tinggal karena kesulitan mendapatkan data data,tantangannya adalah bahwa pengungsi akan mengalami kesulitan menemukan tempat tinggal karena kesulitan mendapatkan data data,tantangannya adalah bahwa pengungsi akan mengalami kesulitan menemukan tempat tinggal karena kesulitan mendapatkan data data,tantangannya adalah bahwa pengungsi akan mengalami kesulitan menemukan tempat tinggal karena kesulitan mendapatkan data data
TSA232,tantangannya yaitu tempat pengungsian,1,TEST,A,Tantangannya adalah kamp pengungsi,tantangannya adalah kamp pengungsi,tantangannya adalah kamp pengungsi,tantangannya adalah kamp pengungsi
TSA233,hidup dengan apadanya yang telah disedia kan oleh yang mengadakan pengungsisan,0,TEST,A,hidup dengan apa yang disediakan oleh mereka yang bertahan,hidup dengan apa yang disediakan oleh mereka yang bertahan,hidup dengan apa yang sediakan oleh mereka yang bertahan,hidup dengan apa yang sediakan oleh mereka yang bertahan
TSA234,"salah satu yang akan di hadapi oleh para pengungsi iklim adalah kurang di terimanya mereka di negara lain, kurang mendapatkan perhatian, dan menjadi miskin karena tidak memiliki sebuah penghasilan.",1,TEST,A,"Salah satu yang akan dihadapi oleh pengungsi iklim kurang dalam tanda terima mereka di negara lain, kurang perhatian, dan menjadi miskin karena mereka tidak memiliki pendapatan.",salah satu yang akan dihadapi oleh pengungsi iklim kurang dalam tanda terima mereka di negara lain kurang perhatian dan menjadi miskin karena mereka tidak memiliki pendapatan,salah satu yang akan diharap oleh pengungsi iklim kurang dalam tanda terima mereka di negara lain kurang perhatian dan menjadi miskin karena mereka tidak memiliki pendapatan,salah satu yang akan diharap oleh pengungsi iklim kurang dalam tanda terima mereka di negara lain kurang perhatian dan menjadi miskin karena mereka tidak memiliki pendapatan
TSA235,pimdah,0,TEST,A,bergerak,bergerak,bergerak,bergerak
TSA236,sulit beradaptasi dengan daerah baru.,1,TEST,A,Sulit untuk beradaptasi dengan area baru.,sulit untuk beradaptasi dengan area baru,sulit untuk beradaptasi dengan area baru,sulit untuk beradaptasi dengan area baru
TSA237,mereka akan tinggal di tempat yang baru dan harus berbaur lagi dengan lingkungan yang baru,1,TEST,A,Mereka akan tinggal di tempat baru dan harus bergaul lagi dengan lingkungan baru,mereka akan tinggal di tempat baru dan harus bergaul lagi dengan lingkungan baru,mereka akan tinggal di tempat baru dan harus bergaul lagi dengan lingkungan baru,mereka akan tinggal di tempat baru dan harus bergaul lagi dengan lingkungan baru
TSA238,encana lingkungan. Apa satu tantangan yang akan dihadapi para pengungsi iklim ini ketika mereka pindah ke tempat baru? kita harus dapat dukungan dari negara negara lain,0,TEST,A,lingkungan lingkungan. Apa tantangan yang akan dihadapi oleh pengungsi iklim ini ketika mereka pindah ke tempat baru? Kita harus mendapatkan dukungan dari negara lain,lingkungan lingkungan apa tantangan yang akan dihadapi oleh pengungsi iklim ini ketika mereka pindah ke tempat baru kita harus mendapatkan dukungan dari negara lain,lingkungan lingkungan apa tantangan yang akan diharap oleh pengungsi iklim ini ketika mereka pindah ke tempat baru kita harus mendapatkan dukungan dari negara lain,lingkungan lingkungan apa tantangan yang akan diharap oleh pengungsi iklim ini ketika mereka pindah ke tempat baru kita harus mendapatkan dukungan dari negara lain
